Date,LT,upper,lower
2019-02-05,1304.6,1340.1504373170399,1272.0995626829606
2019-02-06,1314.4,1329.6774734163316,1278.0510980122406
2019-02-07,1296.05,1327.0826092284149,1277.5245336287287
2019-02-08,1261.75,1330.353703210101,1266.7105825041851
2019-02-11,1246.5,1336.7936264876132,1252.46351636953
2019-02-12,1246.85,1339.7229779269865,1241.7341649301566
2019-02-13,1216.65,1347.9263934238138,1222.2878922904724
2019-02-14,1227.6,1350.9051822149436,1211.0448177850567
2019-02-15,1243.1,1348.5907280450972,1205.1664148120456
2019-02-18,1244.5,1348.2388281566687,1200.7254575576171
2019-02-19,1258.3,1345.1749511193152,1198.6250488806845
2019-02-20,1276.55,1338.4234714605643,1199.9836713965785
2019-02-21,1284.1,1328.5954473029826,1204.0259812684455
2019-02-22,1280.35,1322.7263841788933,1206.030758678249
2019-02-25,1275.85,1316.4454035177343,1208.2045964822648
2019-02-26,1265.85,1304.0968948992838,1213.617390815001
2019-02-27,1284.7,1300.7508052933526,1215.3420518495036
2019-02-28,1292.95,1306.8893548375643,1213.660645162435
2019-03-01,1308.55,1317.1186192448788,1212.295666469406
2019-03-05,1305.8,1324.5240356476918,1213.3116786380217
2019-03-06,1317.0,1328.444894342924,1223.7265342285034
2019-03-07,1352.4,1343.8879640307941,1226.1120359692054
2019-03-08,1339.4,1352.1642211342808,1231.592921722862
2019-03-11,1346.55,1359.4544369371758,1238.881277348538
2019-03-12,1388.9,1380.7681324106522,1236.224724732205
2019-03-13,1378.6,1394.477835175358,1237.0935933960704
2019-03-14,1379.75,1405.9326688940905,1239.303045391624
2019-03-15,1396.5,1419.0885574595231,1242.7400139690485
2019-03-18,1378.9,1423.813679959605,1252.7363200403956
2019-03-19,1357.95,1419.924107124485,1269.7830357326588
2019-03-20,1370.9,1418.5951250800597,1283.42630349137
2019-03-22,1394.7,1420.6498507445988,1295.9072921125455
2019-03-25,1376.75,1419.1145629634846,1307.185437036517
2019-03-26,1372.8,1413.2128511307128,1322.6585774407172
2019-03-27,1366.45,1406.0895845837383,1336.8461297019774
2019-03-28,1386.7,1407.567902454153,1340.2678118315628
2019-03-29,1385.3,1404.7513657051134,1349.641491437745
2019-04-01,1412.2,1409.3186374753259,1354.4527910961037
2019-04-02,1409.75,1414.4679314252817,1352.2820685747192
2019-04-03,1378.05,1414.4560125978267,1352.215415973603
2019-04-04,1368.7,1414.6048479452706,1350.4880091975879
2019-04-05,1373.8,1412.230707270307,1349.6192927296943
2019-04-08,1373.65,1412.0851330326425,1349.0148669673588
2019-04-09,1375.2,1410.7575596828185,1352.8067260314685
2019-04-10,1371.55,1410.730866101564,1352.9262767555797
2019-04-11,1378.0,1408.6133269999657,1352.6581015714635
2019-04-12,1360.9,1409.377060171471,1349.6300826856727
2019-04-15,1356.9,1410.4653434365753,1346.2703708491401
2019-04-16,1381.4,1410.811854867437,1348.059573703993
